Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=02BCF020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=059D8020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=02B70020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=02FA5020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=0311C020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=060BD020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=035E4020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=0330E020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=05501020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=0560E020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=02BEE020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=05DBB020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=03B18020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=03326020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=02886020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=029E4020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=02ED7020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=038AB020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=03612020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=0625B020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=02DD4020
Present called: width=942, height=648, m_width=942, m_height=648, pitch=2826, buffer=034C0020
