SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=055AF020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=055AF020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=054FE020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=051F9020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=051F9020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=054B4020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=054B4020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=05E7B020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=05E7B020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=05BA0020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=05BA0020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=06044020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=06044020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=05EDB020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=05EDB020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=056C6020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=056C6020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=05AD9020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=05AD9020
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=00000000
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=00000000
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=00000000
SetVideoMode: SDL2Graphics init - mXRes=942, mYRes=648, mLineLen=942, mBuffer=00000000
