[ContinuousSoundLogic] Frame 0: lWindSound=06104C50, lMotorSound=06104DA8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=06104C50, lMotorSound=06104DA8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=06104C50, lMotorSound=06104DA8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 300: lWindSound=06104C50, lMotorSound=06104DA8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 400: lWindSound=06104C50, lMotorSound=06104DA8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 500: lWindSound=06104C50, lMotorSound=06104DA8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 501: lWindSound=06104C50, lMotorSound=06104DA8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=05D4EC18, lMotorSound=05D4ED70, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=05D4EC18, lMotorSound=05D4ED70, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=05D4EC18, lMotorSound=05D4ED70, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=05D4EC18, lMotorSound=05D4ED70, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 201: lWindSound=05D4EC18, lMotorSound=05D4ED70, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 300: lWindSound=05D4EC18, lMotorSound=05D4ED70, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 400: lWindSound=05D4EC18, lMotorSound=05D4ED70, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=061E73D0, lMotorSound=061D4A88, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=061E73D0, lMotorSound=061D4A88, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=061E73D0, lMotorSound=061D4A88, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 300: lWindSound=061E73D0, lMotorSound=061D4A88, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 400: lWindSound=061E73D0, lMotorSound=061D4A88, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 500: lWindSound=061E73D0, lMotorSound=061D4A88, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=0509B140, lMotorSound=0509B1E8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=0509B140, lMotorSound=0509B1E8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=066DE238, lMotorSound=066DE390, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=066DE238, lMotorSound=066DE390, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=066DE238, lMotorSound=066DE390, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=066DE238, lMotorSound=066DE390, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 300: lWindSound=066DE238, lMotorSound=066DE390, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 400: lWindSound=066DE238, lMotorSound=066DE390, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 500: lWindSound=066DE238, lMotorSound=066DE390, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=0159A678, lMotorSound=0159A870, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=0159A678, lMotorSound=0159A870, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=066AD040, lMotorSound=066AD0E8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=066AD040, lMotorSound=066AD0E8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=066AD040, lMotorSound=066AD0E8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 300: lWindSound=066AD040, lMotorSound=066AD0E8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 400: lWindSound=066AD040, lMotorSound=066AD0E8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 500: lWindSound=066AD040, lMotorSound=066AD0E8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=05C4EEB0, lMotorSound=05CC2458, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=05C4EEB0, lMotorSound=05CC2458, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=05C4EEB0, lMotorSound=05CC2458, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=05AEEDF8, lMotorSound=05B7FD18, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=05AEEDF8, lMotorSound=05B7FD18, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=05AEEDF8, lMotorSound=05B7FD18, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=05E790B0, lMotorSound=05E79208, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=058BED10, lMotorSound=058BEDB8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=058BED10, lMotorSound=058BEDB8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=058BED10, lMotorSound=058BEDB8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=0660C118, lMotorSound=065D8DA8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=0660C118, lMotorSound=065D8DA8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=064CEEE0, lMotorSound=064CE1B0, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=064CEEE0, lMotorSound=064CE1B0, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=064CEEE0, lMotorSound=064CE1B0, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=05A4EE48, lMotorSound=05AD11C0, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=05A4EE48, lMotorSound=05AD11C0, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=05B8CEF0, lMotorSound=05B8D048, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 1: lWindSound=05B8CEF0, lMotorSound=05B8D048, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=05B8CEF0, lMotorSound=05B8D048, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=05B8CEF0, lMotorSound=05B8D048, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=06132558, lMotorSound=061326B0, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=06307030, lMotorSound=062FD7F8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=06307030, lMotorSound=062FD7F8, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=01516358, lMotorSound=01516400, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=01516358, lMotorSound=01516400, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=015E5508, lMotorSound=015E55B0, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=015E5508, lMotorSound=015E55B0, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=015E5508, lMotorSound=015E55B0, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=0564EDB8, lMotorSound=0564EE60, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=0564EDB8, lMotorSound=0564EE60, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=0564EDB8, lMotorSound=0564EE60, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 0: lWindSound=05591508, lMotorSound=05591640, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 100: lWindSound=05591508, lMotorSound=05591640, lAbsSpeed=0.000, motorOn=0
[ContinuousSoundLogic] Frame 200: lWindSound=05591508, lMotorSound=05591640, lAbsSpeed=0.000, motorOn=0
