[SetControlState #0] pTime=-6000, pState=0, mControlState=0, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #1] pTime=-5994, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #2] pTime=-5994, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #3] pTime=-5994, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #4] pTime=-5988, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #5] pTime=-5988, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #6] pTime=-5983, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #7] pTime=-5983, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #8] pTime=-5976, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #9] pTime=-5976, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #10] pTime=-5976, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #11] pTime=-5976, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #12] pTime=-5971, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #13] pTime=-5971, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #14] pTime=-5971, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #15] pTime=-5971, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #16] pTime=-5966, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #17] pTime=-5966, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #18] pTime=-5966, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #19] pTime=-5961, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #20] pTime=-5955, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #21] pTime=-5955, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #22] pTime=-5949, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #23] pTime=-5949, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #24] pTime=-5943, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #25] pTime=-5943, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #26] pTime=-5943, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #27] pTime=-5943, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #28] pTime=-5938, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #29] pTime=-5938, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #30] pTime=-5938, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #31] pTime=-5938, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #32] pTime=-5932, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
