[Render #0] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #30] mHoverModel=1 (sanitized to 1), mapped to Actor 11, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #60] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #90] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #120] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #150] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #180] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #210] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #240] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #270] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #300] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #330] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #360] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #390] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #420] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #450] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #480] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #510] mHoverModel=3 (sanitized to 3), mapped to Actor 19, mHoverId=0 (sanitized to 0), Pos=(0,70831389960184516313088,0)
[Render #0] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,0,0)
[Render #30] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,0,0)
[Render #0] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-515103260672,0)
[Render #30] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-515103260672,0)
[Render #0] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-0,0)
[Render #30] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-0,0)
[Render #60] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-0,0)
[Render #0] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-156191527695419386763342765758723798855267513881729823166209576540868596475462807337345905768492766672981535988434021788674739472700886646977480569463589912750420339746653343017463997433927427060119586641805312,0)
[Render #30] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-156191527695419386763342765758723798855267513881729823166209576540868596475462807337345905768492766672981535988434021788674739472700886646977480569463589912750420339746653343017463997433927427060119586641805312,0)
[Render #60] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-156191527695419386763342765758723798855267513881729823166209576540868596475462807337345905768492766672981535988434021788674739472700886646977480569463589912750420339746653343017463997433927427060119586641805312,0)
[Render #90] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-156191527695419386763342765758723798855267513881729823166209576540868596475462807337345905768492766672981535988434021788674739472700886646977480569463589912750420339746653343017463997433927427060119586641805312,0)
[Render #120] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-156191527695419386763342765758723798855267513881729823166209576540868596475462807337345905768492766672981535988434021788674739472700886646977480569463589912750420339746653343017463997433927427060119586641805312,0)
[Render #150] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-156191527695419386763342765758723798855267513881729823166209576540868596475462807337345905768492766672981535988434021788674739472700886646977480569463589912750420339746653343017463997433927427060119586641805312,0)
[Render #180] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-156191527695419386763342765758723798855267513881729823166209576540868596475462807337345905768492766672981535988434021788674739472700886646977480569463589912750420339746653343017463997433927427060119586641805312,0)
[Render #210] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-156191527695419386763342765758723798855267513881729823166209576540868596475462807337345905768492766672981535988434021788674739472700886646977480569463589912750420339746653343017463997433927427060119586641805312,0)
[Render #0] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,0,0)
[Render #30] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,0,0)
[Render #60] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,0,0)
[Render #90] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,0,0)
[Render #0] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,10969010264473257472265003591553626658721234944,0)
[Render #30] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,10969010264473257472265003591553626658721234944,0)
[Render #60] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,10969010264473257472265003591553626658721234944,0)
[Render #0] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-0,0)
[Render #30] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-0,0)
[Render #60] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,-0,0)
[Render #0] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,59766463180054995609964426860886021260505129723034574732117766976662545578004592343966120494575077080741651488440320,0)
[Render #30] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,59766463180054995609964426860886021260505129723034574732117766976662545578004592343966120494575077080741651488440320,0)
[Render #60] mHoverModel=0 (sanitized to 0), mapped to Actor 10, mHoverId=0 (sanitized to 0), Pos=(0,59766463180054995609964426860886021260505129723034574732117766976662545578004592343966120494575077080741651488440320,0)
