SimpleRenderer::Render() #100: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #200: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #300: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #400: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #500: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #600: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #700: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #800: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #900: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #1000: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #1100: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #1200: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #1300: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #1400: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #1500: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #1600: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #1700: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #1800: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #1900: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #2000: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #2100: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #2200: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #2300: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #2400: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #2500: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #2600: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #2700: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #2800: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #2900: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #3000: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #3100: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #3200: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #3300: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #3400: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #3500: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #3600: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #3700: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #3800: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #3900: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #4000: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #4100: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #4200: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #4300: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #4400: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #4500: drew 12 lines, motor=0, frame=0
SimpleRenderer::Render() #4600: drew 12 lines, motor=0, frame=0
