[HoverRender] Motor sound: 06104DA8, Friction sound: 06104C50
[HoverRender] Motor sound: 05D4ED70, Friction sound: 05D4EC18
[HoverRender] Motor sound: 061D4A88, Friction sound: 061E73D0
[HoverRender] Motor sound: 0509B1E8, Friction sound: 0509B140
[HoverRender] Motor sound: 066DE390, Friction sound: 066DE238
[HoverRender] Motor sound: 0159A870, Friction sound: 0159A678
[HoverRender] Motor sound: 066AD0E8, Friction sound: 066AD040
[HoverRender] Motor sound: 05CC2458, Friction sound: 05C4EEB0
[HoverRender] Motor sound: 05B7FD18, Friction sound: 05AEEDF8
[HoverRender] Motor sound: 05E79208, Friction sound: 05E790B0
[HoverRender] Motor sound: 058BEDB8, Friction sound: 058BED10
[HoverRender] Motor sound: 065D8DA8, Friction sound: 0660C118
[HoverRender] Motor sound: 064CE1B0, Friction sound: 064CEEE0
[HoverRender] Motor sound: 05AD11C0, Friction sound: 05A4EE48
[HoverRender] Motor sound: 05B8D048, Friction sound: 05B8CEF0
[HoverRender] Motor sound: 061326B0, Friction sound: 06132558
[HoverRender] Motor sound: 062FD7F8, Friction sound: 06307030
[HoverRender] Motor sound: 01516400, Friction sound: 01516358
[HoverRender] Motor sound: 015E55B0, Friction sound: 015E5508
[HoverRender] Motor sound: 0564EE60, Friction sound: 0564EDB8
[HoverRender] Motor sound: 05591640, Friction sound: 05591508
