[MainCharacter ctor] Creating object at 00A1B250, mPosition initially=(0,0,0), mOrientation=0
[MainCharacter ctor END] Object 00A1B250 ready, mPosition now=(0,0,0), mOrientation=0
[MainCharacter ctor] Creating object at 00ECA548, mPosition initially=(0,0,0), mOrientation=0
[MainCharacter ctor END] Object 00ECA548 ready, mPosition now=(0,0,0), mOrientation=0
[MainCharacter ctor] Creating object at 00C3A4B8, mPosition initially=(0,0,0), mOrientation=0
[MainCharacter ctor END] Object 00C3A4B8 ready, mPosition now=(0,0,0), mOrientation=0
[MainCharacter ctor] Creating object at 061E54A8, mPosition initially=(0,0,0), mOrientation=0
[MainCharacter ctor END] Object 061E54A8 ready, mPosition now=(0,0,0), mOrientation=0
[MainCharacter ctor] Creating object at 050B1F90, mPosition initially=(0,0,0), mOrientation=0
[MainCharacter ctor END] Object 050B1F90 ready, mPosition now=(0,0,0), mOrientation=0
[MainCharacter ctor] Creating object at 014EF360, mPosition initially=(0,0,0), mOrientation=0
[MainCharacter ctor END] Object 014EF360 ready, mPosition now=(0,0,0), mOrientation=0
[MainCharacter ctor] Creating object at 015DA200, mPosition initially=(0,0,0), mOrientation=0
[MainCharacter ctor END] Object 015DA200 ready, mPosition now=(0,0,0), mOrientation=0
[MainCharacter ctor] Creating object at 0141A010, mPosition initially=(0,0,0), mOrientation=0
[MainCharacter ctor END] Object 0141A010 ready, mPosition now=(0,0,0), mOrientation=0
